id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,habitaciones,dormitorios,baños,sup_total,sup_cubierta,precio,moneda,price_period,título,descr,tipo_propiedad,tipo_operac,sup_fondo
H6Z6peGFBWwRlPCmE6uOCA==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.55205917,-58.57170486,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Villa Ballester,NA,NA,2,NA,1,70,70,97000,USD,Mensual,San Jose De Flores  5200 PB - U$D 97.000 - Tipo casa PH en Venta,Ciudad:Pdo.san ma-Zona:Buena-Asfalto-Propiedad ocupada-Porche-Medidas del terreno:8.82x28-Superficie terreno:246-Parrilla-Quincho-Pisos:Ceramico-Categoria:Bueno-CASA REMODELADA CON JARDIN PATIO Y TERRAZA CON LAVADEROInformación Adicional: Tipo de piso: Ceramicos y BaldosasTipo de techo: LosaArtefactos de cocinaCalefacciónGas naturalMuebles de cocinaCalefacciónGas natural,Casa,Venta,0
xyK1dZpX0EMNrAIoZfeRqg==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.54158783,-58.55697632,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Villa Ballester,NA,NA,2,NA,1,95,95,145000,USD,Mensual,Republica  5500 PB - U$D 145.000 - Tipo casa PH en Venta,Ciudad:Pdo.san ma-Zona:Residencial-Asfalto-Propiedad ocupada-Medidas del terreno:8x10-Parrilla-Categoria:Excelente-Refaccionado-Información Adicional: Tipo de techo: LosaAire acondicionado centralAire acondicionado individualArtefactos de cocinaCalefacciónGas naturalMuebles de cocinaCalefacciónGas naturalRefrigeración,Casa,Venta,0
6ZrtQFNaHL1Wib/Cax5BQA==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.58543015,-58.56850052,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Villa Libertad,NA,NA,2,NA,1,350,80,139800,USD,Mensual,Diego Pombo  6100 - U$D 139.800 - Casa en Venta,"CASA EN LOTE PROPIO, ENTRADA DE AUTO, LIVING, COCINA COMEDOR, BAÑO COMPLETO, DOS DORMITORIOS, JARDÍN DE INVIERNO, LAVADERO PEQUEÑO BAÑO, FONDO LIBRE PARRILLA, PILETA, EN EL FONDO DEL TERRENO SE ENCUENTRA UNA CONSTRUCCIÓN QUE PUEDE SER DESTINADO A QUINCHO, DEPARTAMENTO DE DOS AMBIENTES, LUGAR DE TRABAJO. ESTADO BUENO,  LAS MEDIDAS SON APROXIMADAS DADAS POR EL PROPIETARIO. venta 50% CONTADO Y 50 % FINANCIA EL PROPIETARIO 10 CUOTAS DE  S$d 7.000 CONSULTE!!",Casa,Venta,270
o3Z0QkEVHh/zEUNz4zJ+fQ==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.53882217,-58.55680847,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Villa Ballester,NA,NA,2,NA,1,750,100,285000,USD,Mensual,Combet  5700 - U$D 285.000 - Casa en Venta,"Casa 3 amb lote 10x75 living comedor, cocina, 2 dormitorios, baño, amplio fondo con pileta y cochera.",Casa,Venta,650
4d0k0CzdWrYuTYBp7puAoQ==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.55477524,-58.53686523,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,San Andres,NA,NA,2,NA,2,207,140,160000,USD,Mensual,Intendente Alvear   2000 - U$D 160.000 - Casa en Venta,"Excelente chalet. El mismo cuenta con dos dormitorios, baño completo, cocina comedor, comedor diario amplio con toilette, living y dos garage. uno cubierto y uno descubierto. Galería con parrilla e instalaciones para el lavarropa. En terraza cuenta con cuarto de guardado amplio.",Casa,Venta,67
SknjyBREBMbWMbfPcoLB0w==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.57481384,-58.53686523,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,San Martín,NA,NA,2,NA,2,75,67,145000,USD,Mensual,Cerrito  2100 6°  - U$D 145.000 - Departamento en Venta,"OPORTUNIDAD!!Departamento 3 AMBIENTES a ESTRENAR pura luz, al contrafrente con balcón.(ENTREGA MAYO 2020)Propiedades disponible MONOAMBIENTES, 2 AMBIENTES, 3 AMBIENTES (consulte)DESCRIPCIÓN DE LA PROPIEDAD:.* Living-Comedor amplio, pisos de porcelanato, con salida por ventanal al balcón. PURA LUZ.* 1er Dormitorio con piso flotante, placard empotrado, calefacción por radiadores.* 2do Dormitorio con piso flotante, placard empotrado, calefacción por radiadores.* Cocina con artefacto de cocina de primera marca y muebles de cocina altos y bajos * Toillete* Baño completo con griferia monocomando.* Balcón techado al contrafrente con parrila.* Placard empotrado amplio.* Calefacción por radiadores.* Caldera individual.* Abertura de aluminios con doble vidrio DVH.* Griferia F.V. monocomando* Ventilación cruzada.DESCRIPCIÓN DEL EDIFICIO.* Edificio nuevo ENTREGA MAYO 2020.* 11 Pisos, 3 Departamentos por pisos.* Camara de seguridad en hall y pallieres.* Ascensor última generación.* GRUPO ELECTRÓGENO de 25 Kva.* Opc. cochera descubierta o cubierta.UBICACIÓN.* Excelente ubicación centro San Martín.* Varias lineas de colectivo y estación de tren cercana.* Cercanía plaza San Martín y peatonal.* Minutos de Gral Paz.",Departamento,Venta,8
GD/xKvJWygg8QvVz872rAw==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.54936218,-58.55242157,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Villa Ballester,NA,NA,2,NA,1,70,70,165000,USD,Mensual,Lacroze  4600 8°  - U$D 165.000 - Departamento en Venta,Ciudad:Pdo.san ma-Zona:Comercial-Asfalto-Osn:Cloaca-Categoria:Muy bueno-Luminosidad:Muy bueno-DEPTO. TIPO LOFT    ALQUILADO  hasta  ABRIL del 2020Información Adicional: Tipo de piso: Ceramicos y BaldosasMonto de las expensas: 1400Propiedad ocupadaAgua calienteAscensorAscensores principalesCalefacciónGas naturalCalefacciónGas naturalCaracterísticas y servicios del edificio: Gas natural,Departamento,Venta,0
/Id8yhby28cHFN0PSOegvg==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.55256271,-58.55873489,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Villa Ballester,NA,NA,2,NA,1,58,58,155000,USD,Mensual,A.brown  3100 2°  - U$D 155.000 - Departamento en Venta,EXCELENTE DEPTO 2 AMB APTO PROFESIONAL COCINA SEPARADAEDIFICIO CON SUM*PISCINA*SOLARIUM,Departamento,Venta,0
q2MnU7pYdV3MLh9exDaulQ==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.56518936,-58.55485535,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,San Andres,NA,NA,2,NA,1,63,63,65000,USD,Mensual,J. M. Igarzabal  3800 - U$D 65.000 - Departamento en Venta,"San Andrés: Departamento de 3 ambientes refaccionado a nuevo. Cuenta con: Cocina con muebles de bajo mesada y alacena, lavadero, living comedor, dos dormitorios, y un baño completo. Sobre calle J. M. Igarzabal y San Lorenzo. Muy buen estado!! U$S65.000.- Consulte!!!!Por cualquier consulta nos puede llamar al  o enviar WhatsAap al 11-.",Departamento,Venta,0
GSgfOUESmYXV499SuZD5SA==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.55101395,-58.567634580000004,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Villa Ballester,NA,NA,2,NA,1,60,50,99000,USD,Mensual,Mitre  5500 - U$D 99.000 - Departamento en Venta,"Departamento tipo casa ;   de 3 Ambientes al frente, a Estrenar!! Posee Cocina con instalación, Living-Comedor, 2 Dormitorios, Baño, Patio con Lavadero.Podemos encontrar pisos de cerámica de primera cálida, techos de madera lustrada.Abonando un  70% al contado u$s 64750, el saldo es financiado.                         Excelente Oportunidad!                                                                                                  APTO CRÉDITO!!!CR HOME 47673488 - 47679679 Información Adicional: Gas naturalGas naturalCaracterísticas y servicios del edificio: Agua corrienteElectricidadGas natural",Departamento,Venta,10
ebNNVYodJe/0MtI6jQEpyQ==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.57695007,-58.5404892,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,San Martín,NA,NA,2,NA,1,99,90,220000,USD,Mensual,Tucumán   2200 8º  - U$D 220.000 - Departamento en Venta,"EXCELENTES DEPARTAMENTOS DE  3 AMBIENTES C/COCHERA OPCIONAL EN SAN MARTIN CENTRO.Se trata de un edificio multifamiliar, ubicado en una esquina céntrica de San Martín, en la intersección de las calles Matheu y Tucumán. Cuenta con Hall de acceso sobre Tucumán, Ascensor automático. Portón vehicular automático.Plataforma elevadora para vehículos.Cocheras en subsuelo y en Planta baja. Locales comerciales en Planta Baja. Cuenta con 22 departamentos de 2 ambientes y 3 de 3 ambientes, 2 de ellos con terraza propia, Departamentos del 2do al 8vo piso, 25 unidades totales .Cocheras en subsuelo y PB. Azotea con SUM y Solarium.Las especificaciones del edificio son :-Estructura de hormigón armado y cerramiento de ladrillo hueco .-Carpinterías exteriores de aluminio.-Instalación de prevención contra incendios y evacuación.-Ascensor y montacargas.-Instalación de iluminación de emergencia.-Hall de acceso con porcellanato.Pre-instalación de aires acondicionados.-Cerámicas de primera calidad en baños y cocinas.-Griferías de primera calidad en baños y cocinas.-Muebles bajo mesad en cocinas.-Artefactos de baño de primera calidad.-Portero eléctrico visor.  AMPLIOS PLANES DE FINANCIACION - ESCUCHAMOS SU PROPUESTA - SE TOMAN PROPIEDADES COMO PARTE DE PAGO.Forma de Pago: 40% al boleto + 50% en 10 cuotas mensuales en U$S o Pesos + 10% a la posesión.-",Departamento,Venta,9
