"player","goals","shots","assists","keyPasses","yellowCard","redCard","ligue","position","games","position_general"
"David Ngog",10,60,1,23,4,0,"Ligue 1","FW",44,"Delantero"
"David Nugent",5,41,2,21,3,0,"Premier League","Sub",33,"Suplente"
"David Oberhauser",0,0,0,0,0,0,"Ligue 1","GK",4,"Portero"
"David Ospina",0,0,1,4,2,0,"Serie A","GK",79,"Portero"
"David Otto",0,0,0,2,0,0,"Bundesliga","Sub",3,"Suplente"
"David Pereira Da Costa",1,2,1,2,0,0,"Ligue 1","Sub",8,"Suplente"
"David Pizarro",0,20,3,26,4,0,"Serie A","MC",26,"Centrocampista"
"David Ramírez",0,2,0,2,0,0,"Ligue 1","Sub",6,"Suplente"
"David Rozehnal",0,6,0,2,0,0,"Ligue 1","DC",18,"Defensor Central"
"David Silva",40,314,59,452,27,0,"Premier League","MC",200,"Centrocampista"
