"player","goals","shots","assists","keyPasses","yellowCard","redCard","ligue","position","games","position_general"
"Chuca",0,3,0,1,1,0,"La Liga","Sub",4,"Suplente"
"Ciaran Clark",10,58,3,19,24,1,"Premier League","DC",110,"Defensor Central"
"Cifuentes",0,3,0,2,1,0,"La Liga","Sub",13,"Suplente"
"Ciprian Tatarusanu",0,0,0,2,2,0,"Serie A","GK",148,"Portero"
"Ciro Immobile",133,725,36,275,30,2,"Serie A","FW",223,"Delantero"
"Claiton",0,3,1,1,2,0,"Serie A","DC",10,"Defensor Central"
"Clarck N&#039;Sikulu",5,39,1,11,2,0,"Ligue 1","AML",28,"Centrocampista Ofensivo"
"Claud Adjapong",2,29,1,19,9,1,"Serie A","Sub",37,"Suplente"
"Claudio Beauvue",29,257,7,79,8,0,"Ligue 1","FW",131,"Delantero"
"Claudio Bravo",0,0,0,3,4,0,"La Liga","GK",119,"Portero"
"Claudio Marchisio",4,98,11,84,20,0,"Serie A","MC",91,"Centrocampista"
"Claudio Pizarro",21,125,8,68,5,0,"Bundesliga","Sub",120,"Suplente"
"Claudio Terzi",1,6,1,11,11,1,"Serie A","DC",40,"Defensor Central"
"Claudio Yacob",0,33,1,19,27,1,"Premier League","MC",103,"Centrocampista"
"Clavería",0,1,0,1,0,0,"La Liga","Sub",1,"Suplente"
"Clemens Fritz",1,48,7,35,22,1,"Bundesliga","MC",74,"Centrocampista"
"Clement Depres",5,28,0,4,1,0,"Ligue 1","Sub",18,"Suplente"
"Clement Lenglet",7,47,2,24,37,5,"La Liga","DC",154,"Defensor Central"
"Clement Michelin",0,16,4,20,4,2,"Ligue 1","Sub",42,"Suplente"
"Clement Vidal",0,1,0,0,1,0,"Ligue 1","DC",3,"Defensor Central"
"Clint Hill",1,7,0,14,4,0,"Premier League","DL",19,"Defensor Lateral"
"Clinton N&#039;Jie",21,118,14,65,4,0,"Ligue 1","Sub",99,"Suplente"
"Cléber",2,28,0,1,7,2,"Bundesliga","DC",40,"Defensor Central"
"Clément Chantôme",1,27,2,27,15,0,"Ligue 1","MC",52,"Centrocampista"
"Clément Grenier",15,136,18,166,16,1,"Ligue 1","MC",117,"Centrocampista"
"Clément Maury",0,0,1,3,1,0,"Ligue 1","GK",34,"Portero"
"Coke",12,100,4,69,21,2,"La Liga","DR",130,"Defensor Lateral"
"Cole Kpekawa",0,0,0,0,0,0,"Premier League","Sub",1,"Suplente"
"Colin Dagba",1,12,4,33,6,0,"Ligue 1","DR",52,"Defensor Lateral"
"Collin Quaner",0,16,4,18,4,0,"Premier League","Sub",28,"Suplente"
"Connor Goldson",0,3,0,0,1,0,"Premier League","DC",3,"Defensor Central"
"Connor Randall",0,2,0,1,0,0,"Premier League","DR",3,"Defensor Lateral"
"Connor Roberts",0,0,0,0,0,0,"Premier League","DMR",4,"Centrocampista Defensivo"
"Connor Wickham",13,135,6,40,10,0,"Premier League","Sub",77,"Suplente"
"Conor Coady",1,7,0,10,15,0,"Premier League","DC",113,"Defensor Central"
"Conor Gallagher",2,29,2,21,11,0,"Premier League","MC",30,"Centrocampista"
"Conor Hourihane",4,34,6,43,4,0,"Premier League","MC",31,"Centrocampista"
"Conor Townsend",0,11,2,23,0,0,"Premier League","DL",25,"Defensor Lateral"
"Constant Djakpa",0,6,0,13,3,0,"Bundesliga","DL",18,"Defensor Lateral"
"Constantin Nica",0,3,0,2,2,0,"Serie A","Sub",8,"Suplente"
"Corentin Jean",7,144,6,106,13,1,"Ligue 1","Sub",128,"Suplente"
"Corentin Tolisso",29,246,19,145,9,2,"Ligue 1","MC",159,"Centrocampista"
"Coro",0,22,1,13,3,0,"La Liga","Sub",34,"Suplente"
"Corona",0,21,0,37,4,0,"La Liga","AMC",31,"Centrocampista Ofensivo"
"Costel Pantilimon",0,0,0,1,5,0,"Premier League","GK",53,"Portero"
"Cotán",0,0,0,1,0,0,"La Liga","DMC",1,"Centrocampista Defensivo"
"Craig Cathcart",4,25,1,10,16,0,"Premier League","DC",122,"Defensor Central"
"Craig Dawson",17,132,0,70,34,1,"Premier League","DR",183,"Defensor Lateral"
"Craig Gardner",6,104,8,69,16,0,"Premier League","Sub",78,"Suplente"
"Cristhian Stuani",56,218,0,41,25,1,"La Liga","FW",125,"Delantero"
"Cristian",2,12,0,2,2,0,"Ligue 1","Sub",19,"Suplente"
"Cristian Ansaldi",9,126,20,165,30,2,"Serie A","DML",159,"Centrocampista Defensivo"
"Cristian Battocchio",3,24,1,24,1,0,"Ligue 1","Sub",39,"Suplente"
"Cristian Benavente Bristol",0,4,1,7,0,0,"Ligue 1","Sub",12,"Suplente"
"Cristian Dell&#039;Orco",1,7,2,17,1,1,"Serie A","DC",54,"Defensor Central"
"Cristian Espinoza",0,2,0,3,1,0,"La Liga","Sub",6,"Suplente"
"Cristian Gamboa",0,2,1,3,2,0,"Premier League","Sub",11,"Suplente"
"Cristian Ganea",0,0,0,0,0,0,"La Liga","ML",1,"Centrocampista"
"Cristian Herrera",1,15,0,17,1,0,"La Liga","Sub",26,"Suplente"
"Cristian Ledesma",0,3,3,15,3,0,"Serie A","MC",13,"Centrocampista"
"Cristian Molinaro",1,29,5,72,11,2,"Serie A","DML",95,"Centrocampista Defensivo"
"Cristian Raimondi",0,11,2,10,8,0,"Serie A","Sub",32,"Suplente"
"Cristian Rivera",2,22,0,19,8,0,"La Liga","Sub",51,"Suplente"
"Cristian Rodríguez",0,14,0,9,0,1,"La Liga","Sub",11,"Suplente"
"Cristian Romero",5,49,5,22,33,3,"Serie A","DC",88,"Defensor Central"
"Cristian Tello",21,199,20,149,9,1,"La Liga","Sub",168,"Suplente"
"Cristian Zaccardo",2,18,1,9,4,1,"Serie A","DC",30,"Defensor Central"
"Cristian Zapata",3,34,1,21,16,1,"Serie A","DC",100,"Defensor Central"
"Cristian Álvarez",0,0,0,2,2,0,"La Liga","GK",17,"Portero"
"Cristiano Biraghi",6,153,24,249,48,1,"Serie A","DL",216,"Defensor Lateral"
"Cristiano Del Grosso",0,3,1,7,0,0,"Serie A","DL",13,"Defensor Lateral"
